timestamp,other_cpu_pct
2026-09-14T01:03:40,154
2026-09-14T01:04:10,135
2026-09-14T01:04:40,135
2026-09-14T01:05:10,141
2026-09-14T01:05:40,140
2026-09-14T01:06:10,122
2026-09-14T01:06:40,124
2026-09-14T01:07:10,140
2026-09-14T01:07:40,147
2026-09-14T01:08:10,131
2026-09-14T01:08:40,127
2026-09-14T01:09:10,133
2026-09-14T01:09:40,129
2026-09-14T01:10:10,145
2026-09-14T01:10:41,133
2026-09-14T01:11:11,152
2026-09-14T01:11:41,130
2026-09-14T01:12:11,153
2026-09-14T01:12:41,130
2026-09-14T01:13:11,128
2026-09-14T01:13:41,141
2026-09-14T01:14:11,139
2026-09-14T01:14:41,148
2026-09-14T01:15:11,128
2026-09-14T01:15:41,129
2026-09-14T01:16:11,135
2026-09-14T01:16:41,143
2026-09-14T01:17:11,144
2026-09-14T01:17:41,127
2026-09-14T01:18:12,115
2026-09-14T01:18:42,131
2026-09-14T01:19:12,131
2026-09-14T01:19:42,144
2026-09-14T01:20:12,128
2026-09-14T01:20:42,140
2026-09-14T01:21:12,139
2026-09-14T01:21:42,137
2026-09-14T01:22:12,129
2026-09-14T01:22:42,146
2026-09-14T01:23:12,132
2026-09-14T01:23:42,147
2026-09-14T01:24:12,132
2026-09-14T01:24:42,136
2026-09-14T01:25:12,119
2026-09-14T01:25:43,128
2026-09-14T01:26:13,126
2026-09-14T01:26:43,133
2026-09-14T01:27:13,151
2026-09-14T01:27:43,143
2026-09-14T01:28:13,128
2026-09-14T01:28:43,148
2026-09-14T01:29:13,120
2026-09-14T01:29:43,184
2026-09-14T01:30:13,131
2026-09-14T01:30:43,142
2026-09-14T01:31:13,148
2026-09-14T01:31:43,127
2026-09-14T01:32:13,143
2026-09-14T01:32:43,117
2026-09-14T01:33:14,131
2026-09-14T01:33:44,123
2026-09-14T01:34:14,138
2026-09-14T01:34:44,135
2026-09-14T01:35:14,135
2026-09-14T01:35:44,132
2026-09-14T01:36:14,152
2026-09-14T01:36:44,128
2026-09-14T01:37:14,135
2026-09-14T01:37:44,125
2026-09-14T01:38:14,126
2026-09-14T01:38:44,130
2026-09-14T01:39:14,129
2026-09-14T01:39:44,127
2026-09-14T01:40:14,125
2026-09-14T01:40:45,123
2026-09-14T01:41:15,146
2026-09-14T01:41:45,136
2026-09-14T01:42:15,9
2026-09-14T01:42:45,42
2026-09-14T01:43:15,3
2026-09-14T01:43:45,14
2026-09-14T01:44:15,7
2026-09-14T01:44:45,147
2026-09-14T01:45:15,122
2026-09-14T01:45:45,136
2026-09-14T01:46:15,139
2026-09-14T01:46:45,129
2026-09-14T01:47:15,130
2026-09-14T01:47:45,150
2026-09-14T01:48:16,138
2026-09-14T01:48:46,135
2026-09-14T01:49:16,127
2026-09-14T01:49:46,136
2026-09-14T01:50:16,146
2026-09-14T01:50:46,288
2026-09-14T01:51:16,193
2026-09-14T01:51:46,143
2026-09-14T01:52:16,125
2026-09-14T01:52:46,122
2026-09-14T01:53:16,127
2026-09-14T01:53:46,125
2026-09-14T01:54:16,121
2026-09-14T01:54:46,152
2026-09-14T01:55:16,154
2026-09-14T01:55:46,134
2026-09-14T01:56:17,127
2026-09-14T01:56:47,145
2026-09-14T01:57:17,131
2026-09-14T01:57:47,143
2026-09-14T01:58:17,148
2026-09-14T01:58:47,148
2026-09-14T01:59:17,154
2026-09-14T01:59:47,130
2026-09-14T02:00:17,130
2026-09-14T02:00:47,128
2026-09-14T02:01:17,119
2026-09-14T02:01:47,135
2026-09-14T02:02:17,126
2026-09-14T02:02:47,141
2026-09-14T02:03:17,120
2026-09-14T02:03:48,140
2026-09-14T02:04:18,120
2026-09-14T02:04:48,135
2026-09-14T02:05:18,126
2026-09-14T02:05:48,139
2026-09-14T02:06:18,123
2026-09-14T02:06:48,158
2026-09-14T02:07:18,154
2026-09-14T02:07:48,166
